word,count
lava,5362
jato,5306
dizer,4326
federal,3506
ser,3370
operação,3187
fazer,3036
afirmar,2619
poder,2582
petrobras,2453
empresa,2441
outro,2438
segundo,2404
público,2312
investigação,2299
ter,2277
sobre,2221
corrupção,1981
ano,1966
presidente,1942
ministro,1887
político,1813
ainda,1812
caso,1781
milhão,1748
em este,1745
lula,1743
ministério,1678
delação,1667
ir,1633
dois,1556
acordo,1538
pedir,1529
moro,1465
governo,1459
paulo,1446
justiça,1427
odebrecht,1426
todo,1423
processo,1407
tribunal,1391
receber,1388
contra,1380
dinheiro,1355
propina,1355
pessoa,1354
prisão,1348
stf,1314
procurador,1282
investigar,1266
juiz,1240
grande,1220
supremo,1204
brasil,1198
dever,1170
esquema,1147
novo,1107
pt,1102
polícia,1100
dar,1099
país,1080
contrato,1061
pagamento,1051
ação,1029
folha,1018
advogado,1018
república,981
dilma,964
cunha,952
dia,947
valor,928
prender,923
deputado,920
depoimento,910
senador,909
crime,880
haver,874
defesa,872
primeiro,852
decisão,838
pf,830
empreiteira,822
envolver,816
porque,806
nome,804
ficar,796
executivo,793
premiar,792
josé,790
inquérito,783
grupo,779
após,773
recurso,762
obra,759
além,758
vez,755
acusar,755
rio,745
temer,744
algum,742
pagar,736
campanha,722
parte,717
denúncia,714
fato,708
janot,701
de este,699
câmara,693
partir,692
negar,689
acusação,688
qualquer,684
partido,681
eduardo,679
sergio,677
curitiba,675
passar,671
mil,666
alvo,666
empresário,659
sob,655
lei,646
delator,644
informação,642
meio,637
passado,636
citar,636
querer,634
mês,627
fernando,627
2014,625
saber,622
chegar,622
desde,618
agora,613
três,611
fase,601
apontar,601
de esse,600
brasileiro,593
teori,590
apresentar,588
costa,583
casa,582
relação,582
estatal,579
roberto,571
nota,570
hoje,562
direito,560
youssef,560
ver,559
prova,559
apenas,556
falar,556
levar,556
vir,548
defender,547
então,545
informar,539
sp,534
último,530
petista,524
lavagem,524
próprio,523
responsável,519
medida,517
oas,516
pmdb,511
usar,510
ocorrer,508
antes,506
principal,505
atuar,505
bilhão,500
estado,495
luiz,495
joão,495
momento,493
carlos,492
pouco,491
doleiro,490
semana,488
contar,484
forma,484
nenhum,483
conta,480
deixar,478
condenar,477
projeto,476
us,474
trabalho,470
réu,467
nacional,466
lado,465
bom,463
durante,460
dirceu,457
empreiteiro,456
tentar,453
senado,452
fim,450
banco,449
considerar,446
filho,446
silva,440
abrir,438
suspeito,438
marcelo,435
rousseff,434
camargo,434
participar,433
autoridade,432
apurar,431
participação,430
enviar,428
cargo,428
prestar,427
documento,426
bem,420
chamar,415
eleitoral,413
2015,406
mostrar,405
relator,404
onde,402
exterior,401
desvio,397
zavascki,396
financeiro,394
porém,390
tempo,388
diretor,388
penal,386
advogar,385
precisar,384
procuradoria,384
investigador,384
serviço,383
estar,382
começar,380
alberto,379
manter,378
fechar,378
possível,378
pgr,377
renan,376
janeiro,374
paraná,373
ligar,373
tratar,372
ricardo,372
sérgio,371
exemplo,368
sistema,368
decidir,367
órgão,365
revelar,364
rodrigo,362
sempre,359
nunca,358
parlamentar,357
negócio,356
voltar,353
delcídio,353
em esse,352
criminoso,351
continuar,351
realizar,350
próximo,349
final,348
risco,348
mendes,346
conseguir,342
michel,340
assim,338
indicar,337
andrade,335
congresso,335
nada,335
trabalhar,332
muito,331
entregar,329
suposto,329
cerca,329
escritório,327
policial,326
2010,326
corrêa,325
tudo,324
doação,320
ato,317
integrante,316
internacional,315
pena,315
operador,315
setor,314
situação,313
março,312
encontrar,311
cinco,311
problema,311
caixa,310
início,309
conselho,309
colaboração,308
área,308
mesmo,308
brasília,308
determinar,306
texto,306
funcionário,303
responder,302
conversa,300
busca,300
cumprir,299
psdb,299
quatro,298
instituição,298
confirmar,298
pedido,298
judicial,296
divulgar,295
lima,295
cada,293
menos,292
tomar,291
econômico,290
época,290
apoio,290
tornar,289
criar,289
20,285
objetivo,284
civil,284
ouvir,284
envolvimento,284
acabar,283
mundo,283
agente,280
delegado,278
jurídico,277
utc,277
apuração,277
reportagem,275
baiano,275
construtora,274
coisa,272
crise,272
gente,272
presidência,271
conhecer,270
assinar,269
mulher,269
obter,268
evitar,268
sociedade,268
declarar,268
preso,267
tanto,267
gutierrez,266
reunião,266
corte,264
base,264
aprovar,263
irregularidade,263
existir,261
questão,261
atuação,260
quanto,259
pedro,259
achar,258
analisar,257
atual,257
incluir,256
líder,256
entrar,255
número,255
galvão,255
mudar,255
total,254
preventivo,254
pequeno,254
denunciar,253
mandato,253
dez,253
sair,253
sigilo,253
interesse,252
colocar,250
união,250
escrever,249
mandar,249
2016,247
cliente,247
julgamento,247
votar,245
10,245
sócio,245
julgar,244
judiciário,244
alto,244
engenharia,243
assunto,243
pp,242
jucá,242
criticar,241
leniência,241
companhia,241
geral,240
acontecer,240
seguir,239
declaração,239
reforma,239
indício,239
eleição,238
apesar,237
vaccari,237
mensalão,236
entanto,236
social,235
parecer,235
assumir,235
oliveira,233
junto,233
colaborar,232
acesso,232
instituto,232
organização,231
instância,231
aparecer,231
condenação,230
construção,229
ponto,229
tipo,229
aécio,229
2013,228
mudança,227
bumlai,227
15,226
30,226
prazo,226
cpi,226
duque,225
machado,225
cabral,224
imprensa,223
turma,223
permitir,222
aceitar,221
impeachment,220
pinheiro,220
dallagnol,220
terça,220
papel,219
manifestar,219
comissão,219
possibilidade,218
antonio,218
