entity,count
Lava Jato,1998
STF,921
Operação Lava Jato,770
Lula,756
PT,635
Odebrecht,577
PF,555
Polícia Federal,477
Brasil,463
Supremo Tribunal Federal,462
Cunha,383
Ministério Público,363
US,357
Curitiba,310
Supremo,307
Ministério Público Federal,291
petrobras,284
Janot,270
Moro,268
Sergio Moro,267
Folha,265
Dilma Rousseff,249
Petrobras,241
República,228
PMDB,219
OAS,211
Rodrigo Janot,201
Teori Zavascki,200
Alberto Youssef,184
Youssef,183
Dilma,182
PP,172
Dirceu,161
Michel Temer,159
Operação,153
Brasília,150
Luiz Inácio Lula Silva,147
PSDB,139
Paulo,137
Teori,130
Marcelo Odebrecht,128
Eduardo Cunha,120
Renan,112
LADO,108
Costa,105
Paulo Roberto Costa,102
Câmara,99
Andrade Gutierrez,98
Suíça,96
MPF,91
Operação Lava,91
Governo,90
Delcídio Amaral,90
STJ,89
Paraná,89
Ricardo Pessoa,88
PGR,87
José Dirceu,85
Judiciário,85
Sergio,83
Dallagnol,82
Justiça,78
Bumlai,76
Rio Janeiro,75
CGU,75
Cabral,74
Camargo,71
Pessoa,70
Câmara Eduardo Cunha,69
Justiça Federal,67
Aécio,65
Roberto Costa,65
Vaccari,63
TCU,63
Instituto Lula,63
Jucá,63
Collor,61
Lima,60
José Carlos Bumlai,58
Baiano,58
Cerveró,57
Renan Calheiros,55
EUA,54
João Vaccari Neto,54
Delcídio,54
Ministros,53
Sérgio Moro,53
Renato Duque,53
Gilmar Mendes,52
TSE,52
Rio,51
João Santana,51
BR,51
Ministério,51
Camargo Corrêa,50
Palocci,50
Justiça Federal Paraná,49
Aécio Neves,49
Estados Unidos,47
Casa Civil,47
Fernando Baiano,47
MP,47
Itália,47
João Vaccari,45
Tiago Cedraz,45
Carlos Fernando Santos Lima,45
Edson Fachin,44
Lava Jato Curitiba,44
Schahin,44
Lava Jato STF,43
Zavascki,43
Câmara Deputados,42
OUTRO,41
Julio Camargo,41
Guarujá,40
Paulo Bernardo,40
Machado,40
Acordos,39
Leia,39
Tribunal,39
Cardozo,39
JBS,38
Bancoop,38
Marcelo,37
Fernando Collor,37
Procuradoria,36
Léo Pinheiro,36
Esquema,35
Dodge,34
Sérgio Cabral,34
Angra,34
Teori Zavascki relator,34
Sergio moro,33
Eletronuclear,33
Barusco,33
Consist,33
Receita Federal,32
Pedro Corrêa,32
Justiça Eleitoral,32
Associação,32
Polícia Federal Curitiba,32
Senado Renan Calheiros,32
Sentença,31
ADPF,31
Duque,31
Atibaia,31
Fernando Soares,31
BNDES,30
Hoffmann,30
Congresso Nacional,30
Corrêa,30
Mercadante,29
Jorge Luz,29
Mendes,29
Aníbal Gomes,29
Santana,29
Genu,29
Moura,29
Pedro Barusco,28
Gonçalves,28
Conselho Ética,28
Janene,28
espécier,27
Gleisi,27
Sociedade,27
Casa,27
Rui Falcão,27
André Vargas,27
Fachin,26
Procuradoria Geral República,26
Romero Jucá,26
Michel Temer PMDB,26
Milton Pascowitch,26
Cármen Lúcia,25
Segunda Turma,25
Marisa Letícia,25
réu,25
Solange Almeida,25
Furnas,24
Kakay,24
Dizer,24
Toffoli,24
Nestor Cerveró,24
Panamá,24
Catilina,24
Datafolha,23
Eike Batista,23
Gilmar,23
Mãos Limpas,23
Zelada,23
Aragão,23
Bahia,22
Ribeiro,22
Nelma Kodama,22
Bendine,22
José Janene,22
SP,22
Ministério Justiça,22
Marcos Valério,22
Fernando Henrique Cardoso,22
Paulo Roberto,22
Petrobras Nestor,22
Fernando Soares Baiano,22
Falcão,22
Ronan Maria Pinto,22
Internet,21
Lava,21
Ministério Planejamento,21
Engevix,21
Minas Gerais,21
Cedraz,20
BR Distribuidora,20
Cármen,20
Anistia,20
Pinheiro,20
Galvão,20
MACHADO,20
Antonio Palocci,19
Geraldo Alckmin,19
Marcelo Bretas,19
Rio Grande Sul,19
Lobão,19
Transpetro Sérgio Machado,19
Ferreira,19
Júlio Camargo,19
Marco Aurélio,19
Osório,19
Paulo Ferreira,19
Vargas,19
Porto Alegre,18
Administração,18
Banco Central,18
Sarney,18
Juiz,18
Alberto Youssef Petrobras,18
TSE Tribunal Superior Eleitoral,18
Jorge Zelada,18
Romano,18
Celso Daniel,18
JD,18
Nova York,17
Carioca,17
Ishii,17
Pimentel,17
Comissão,17
Apoio,17
STJ Superior Tribunal Justiça,17
Moraes,17
Peru,17
Sérgio Machado,17
Palácio Planalto,17
Fernando Collor Mello,17
Gim Argello,17
Navarro,17
JUCÁ,17
Silvio Pereira,17
Pasadena,17
Henriques,17
Deltan Dallagnol,16
Partido Trabalhadores,16
Haddad,16
José Serra,16
Supremo Tribunal Federal Gilmar Mendes,16
DEM,16
Bernardo,16
João Augusto Henriques,16
Braskem,16
Mônica Moura,16
Companhia,16
Sete Brasil,16
Marco Aurélio Mello,16
Alexandrino,16
Catta Preta,16
Othon,16
Doria,15
Gebran,15
Bob,15
Lava Jato Paraná,15
Duran,15
Azevedo,15
PF Curitiba,15
Marisa,15
Emílio Odebrecht,15
Abastecimento Petrobras Paulo Roberto Costa,15
Preso,15
Alberto Yousseff,15
Alexandre Romano,15
Suprema,15
FHC,15
André Esteves,15
Justiça José Eduardo Cardozo,15
FGTS,15
Justiça Paraná,15
Dilma 2014,15
Mônaco,15
Anastasia,15
moro,14
Assad,14
Tribunal Superior Eleitoral,14
Igor Romário Paula,14
Aroldo Cedraz,14
Lava Jato Supremo,14
Portugal,14
Transpetro,14
Augusto Mendonça,14
Cerimônia,14
Conselho,14
Veja,14
Poder Judiciário,14
Alencar,14
Casa Civil José Dirceu,14
Celso Mello,14
Nelson Meurer,14
Alckmin,14
Ministério Público Polícia Federal,14
juiz federal,14
OAS Léo Pinheiro,14
Meurer,14
República Deltan,14
Mitsui,14
Beatriz Catta Preta,14
Ministério Público Paulo,14
Continuidade,13
Moreira Franco,13
Guilherme Gonçalves,13
Vaccarezza,13
Moreira,13
Tiago,13
Mendes Júnior,13
Distrito Federal,13
Poder,13
Luís Roberto Barroso,13
Angola,13
Maia,13
Serraglio,13
Maria Lúcia Tavares,13
Mantega,13
Queiroz Galvão,13
Fisco,13
Luiz Argôlo,13
Anselmo,13
Advogados,13
Eletrobras,13
Senado Renan,13
Pereira,13
Marcelo Navarro,13
Esteves,13
Ronan,13
Edinho,13
Unipar,13
Pascowitch,13
Guarujá SP,12
Corinthians,12
Precisamos,12
PGR República,12
Argentina,12
Divisão,12
Eunício,12
Caixa Econômica Federal,12
Edison Lobão,12
Dias Toffoli,12
Humberto Costa,12
Polícia Federal Ministério Público Federal,12
China,12
Fernando Bezerra,12
PSOL,12
Barbosa,12
Lula Marisa,12
Zwi Skornicki,12
Skornicki,12
Serviços Petrobras,12
TCU Tribunal Contas,12
Argolo,12
Cenpes,12
Mato Grosso Sul,12
Jaques Wagner,12
José Eduardo Cardozo Justiça,12
Bolsonaro,11
Ricardo Lewandowski,11
Wagner,11
Pinto,11
Curitiba PR,11
Luiz Eduardo Oliveira Silva,11
Dilma Lula,11
Facebook,11
MPF Ministério Público Federal,11
Temer,11
Minas,11
Câmara Rodrigo Maia,11
Mossack Fonseca,11
Congresso,11
Lei,11
Salvador,11
Operação Lava Jato Polícia Federal,11
Partido,11
Ministério Público Federal Paraná,11
José Eduardo Cardozo,11
Denúncia,11
Câmara Deputados Eduardo Cunha,11
Legislativo,11
Ceará,11
Justiça Alexandre Moraes,11
Investigadores,11
Joaquim Barbosa,11
Martins,11
Padilha,11
Margotto,11
Mario Goes,11
Hong Kong,11
Solaris,11
Luiz Sérgio,11
Labogen,11
Mensalão,10
Marina,10
Raquel Dodge,10
Escritório,10
Fernando Moura,10
Edinho Silva,10
Adir,10
Lula Dilma,10
Operação Custo Brasil,10
Joesley Batista,10
Belo Horizonte,10
Londrina,10
Petrobras Nestor Cerveró,10
Imposto,10
Henrique Eduardo Alves,10
Operação Lava Jato Curitiba,10
Jato,10
Operação Lava Jato Paraná,10
Setor Operações Estruturadas,10
Principal,10
Wiecko,10
Constituição,10
Democracia,10
Odebrecht OAS,10
juíz,10
Turma,10
Rodrigo Maia,10
Tipo MP,10
Cidade Administrativa,10
Roraima,10
Aécio Neves MG,10
PT PMDB,10
Jornal Nacional,10
Santa Catarina,10
Faerman,10
Belo Monte,10
Polícia Federal Ministério Público,10
CNJ,10
Borghi Lowe,10
Queiroz,10
Aníbal,10
WTorrer,10
Cleto,10
Relator Lava Jato STF,10
Ministério Saúde,10
Procuradoria Geral,10
Constran,10
Ministério Público Federal Polícia Federal,10
Pepper,10
Edson Ribeiro,10
CARLOS FERNANDO,10
Arxo,10
Bretas,9
Rio janeiro,9
Luiz Carlos Bezerra,9
Tribunal Regional Federal,9
Diário Oficial,9
História,9
Supremo Tribunal Federal Ricardo Lewandowski,9
Superior Tribunal,9
Custo Brasil,9
Oliveira,9
Kalil,9
Dilma Rousseff PT,9
pernambuco,9
habea corpus,9
Eunício Oliveira,9
José Sarney PMDB,9
Americana,9
Twitter,9
Conselho Nacional Ministério Público,9
Plano,9
LAVA JATO,9
Alexandre Moraes,9
Serra,9
Branislav Kontic,9
Léo Pinheiro OAS,9
STJ Superior Tribunal,9
Estado,9
Roberto Teixeira,9
Alexandrino Alencar,9
América Latina,9
Esplanada,9
Ouça,9
Vou,9
Teori Zavaski,9
Lewandowski,9
Paulo Geraldo Alckmin,9
Internacional Petrobras,9
Pernambuco,9
PGR Procuradoria Geral República,9
Londres,9
Semiaberto,9
Público,9
Operação Mãos Limpas,9
Galvão Engenharia,9
Banco Rural,9
Márcio Anselmo,9
Argello,9
Andrade,9
CPIs,9
Eduardo Fonte,9
Toyo Setal,9
Caixa Econômica Federal Ministério Saúde,9
Francisco Falcão,9
Mendonça,9
Delgado,9
Petrobras Cunha,9
Transener,9
BTG,9
Soares,9
Rio Bonito RJ,9
Chater,9
Rio Sérgio Cabral,8
Adriana Ancelmo,8
Carlos Emanuel Miranda,8
Pozzobon,8
Miller,8
Municipal,8
Roberto Podval,8
Igor Romário,8
Lula Dilma Rousseff,8
Guido Mantega,8
Carvalho,8
BC,8
IstoÉ,8
PTB,8
Valdir Raupp,8
Lobista,8
PSD,8
Lula PT,8
Lisboa,8
Lava Jato Rio,8
República Carlos Fernando Santos Lima,8
Banco Schahin,8
Recife,8
Europa,8
Godinho,8
Internacional,8
Petrobras Renato Duque,8
Tribunal Contas,8
Miami,8
Vara,8
Palácio,8
Arns,8
Ordem Advogados Brasil,8
MBL,8
Centro,8
Federal,8
José Roberto Batochio,8
Superior Tribunal Justiça,8
Serviços,8
Paraty,8
Vara Federal Curitiba,8
Poder Executivo,8
Shinko,8
PF Paulo,8
Imposto Renda,8
Abastecimento Petrobras Paulo,8
Leite,8
Petrobras Pedro Barusco,8
Chambinho,8
Figueiredo Basto,8
Basto,8
Adir Assad,8
Ferraz,8
Gabinete,8
OSX,8
Michel,8
Samsung,8
Pieruccini,8
João Claudio Genu,8
Othon Luiz Pinheiro Silva,8
Pixuleco,8
Gabas,8
Odebrecht Andrade Gutierrez,8
Mariz,8
Grupo Schahin,8
Diário Grande ABC,8
Astra,8
Roma,8
Oi,8
Antonio Anastasia,8
Museu Oscar Niemeyer Curitiba,8
Braspor,8
Goes,8
Goergen,8
Luiz Inácio Lula Silva PT,7
Newton Ishii,7
Paulo Maluf,7
Maluf,7
Funaro,7
Palácio Jaburu,7
Washington,7
Sérgio Cabral PMDB,7
LADO Folha,7
Fiscalização,7
Coaf Conselho Controle Atividades Financeiras,7
Nelma,7
Justiça Ministério Público,7
Polícia Federal Paraná,7
Acho,7
