row,score
7728,41.0724
1049,30.3634
1518,27.6244
5523,22.8553
9915,22.0167
8239,21.6083
6255,20.8275
8542,20.6813
9440,20.5328
846,20.4579
1815,20.3214
1568,19.441
3318,19.212
11172,18.8897
1027,18.6259
2382,18.4738
233,18.2517
8329,18.0799
13332,18.0267
7446,17.9676
5041,17.3188
11551,17.2841
1031,17.2821
8465,17.2285
2036,17.0391
8499,16.7682
11641,16.224
6345,16.2133
15054,16.134
6498,16.0701
7083,15.9354
7263,15.8416
1460,15.808
8417,15.5346
5275,15.5233
3137,15.5168
14754,15.479
7891,15.2415
5501,15.2074
12803,15.1486
1397,15.1196
5915,15.0732
10357,14.9589
12826,14.8862
3084,14.746
6525,14.6382
8191,14.4161
8199,14.3604
7911,14.1407
14960,13.9787
1220,13.9252
16667,13.876
3215,13.8643
5988,13.853
9063,13.8027
2252,13.6968
17568,13.6853
6992,13.6547
1934,13.5711
5754,13.4097
15434,13.3716
18885,13.2885
5987,13.2122
977,13.1867
14995,13.1749
16851,13.1393
8423,13.035
8422,12.9674
17574,12.9341
5619,12.9219
15432,12.8055
833,12.4509
1679,12.26
14935,12.192
7894,12.191
4019,12.1397
2953,12.0518
5059,12.0281
877,11.9446
15423,11.9151
2373,11.915
10266,11.8988
8580,11.7906
8403,11.6558
14481,11.624
13230,11.6061
5909,11.5163
831,11.455
5933,11.3361
5930,11.1505
8557,11.1189
6681,10.9417
16422,10.9126
16682,10.9126
15445,10.8503
16698,10.7542
18425,10.7195
5036,10.6864
1735,10.6577
15380,10.6498
9090,10.5359
3785,10.5333
2731,10.5306
7392,10.4845
4240,10.4432
5575,10.4124
5053,10.3554
12351,10.3527
13822,10.292
6560,10.2894
15399,10.2847
15428,10.2793
15435,10.2612
15221,10.2607
1140,10.2368
1620,10.2123
8401,10.1357
15412,10.1315
11906,10.0889
8529,10.0777
4233,10.0719
5162,10.0681
8223,10.0634
10418,10.0499
5547,10.0454
15422,10.0397
14566,10.0237
2175,10.0093
6696,10.0047
15196,9.9659
5355,9.9649
13295,9.9371
3663,9.9292
14238,9.8914
1685,9.8638
5369,9.8532
1788,9.8343
3216,9.831
18390,9.7734
13592,9.7703
10650,9.7637
6081,9.7576
15413,9.7433
5010,9.7348
1809,9.7301
11676,9.7202
8917,9.713
12356,9.7089
13757,9.6975
182,9.6477
1989,9.5835
4953,9.5713
19071,9.5366
10391,9.5293
15231,9.5084
2726,9.4888
5699,9.4883
15251,9.4717
14991,9.4709
3438,9.4484
10525,9.442
13225,9.4238
13704,9.4149
16596,9.3911
15259,9.3767
10307,9.3732
396,9.3569
6426,9.3185
10422,9.3103
15401,9.3091
4231,9.3088
10305,9.2951
679,9.2532
7750,9.2316
14435,9.2289
5823,9.2275
10354,9.2166
2939,9.2043
11345,9.1799
15203,9.1743
15233,9.1583
1715,9.151
9110,9.1467
5029,9.1451
16038,9.1451
6712,9.1394
13903,9.1362
9434,9.0992
10417,9.0976
7581,9.0953
12489,9.0792
12490,9.0792
12372,9.0624
6848,9.0612
14400,9.0489
5019,9.0346
14901,9.0286
1946,9.0283
7545,9.0151
12326,9.002
14197,8.993
15307,8.9855
10399,8.9823
10708,8.9759
5919,8.9733
19666,8.9647
