row,score
489,28.4477
15669,27.5658
3941,26.5214
2358,25.5515
10912,25.2502
2409,24.5924
17044,23.3652
10965,23.0867
10770,22.5785
10974,22.1677
1847,21.7085
2426,21.6145
1391,21.5669
7729,21.1855
1076,21.0153
10967,20.7038
10150,20.3735
2730,20.1896
19224,19.7353
10651,19.6784
6476,19.6321
10371,19.6231
18227,19.5374
7171,19.4428
18997,19.218
18712,19.0375
1706,18.7006
17799,18.555
2281,18.5457
6381,18.53
3282,18.49
10423,18.2015
3666,18.1807
1670,18.1321
20644,18.1011
10820,18.0739
14051,17.8203
8504,17.7789
18273,17.7322
9584,17.5818
10804,17.4962
3664,17.3817
1956,17.2733
2601,17.1587
3663,17.1242
19700,17.0869
16969,17.0382
472,17.0074
7778,16.9645
2607,16.9501
7139,16.9341
19623,16.9051
16224,16.8794
12553,16.8302
13935,16.7883
10854,16.6122
18775,16.5661
5349,16.5257
3285,16.4763
18569,16.4228
10065,16.3894
10922,16.3299
5842,16.271
1703,16.2263
10827,16.2206
4231,16.1919
1883,16.0974
3456,16.0873
14922,16.0316
747,16.0119
2259,15.9591
1476,15.9372
8005,15.9035
5026,15.8451
3033,15.8326
2912,15.8146
8762,15.7839
9226,15.7788
1780,15.7418
4664,15.7047
20860,15.5845
11387,15.5715
18246,15.387
18682,15.3539
5911,15.3503
4865,15.32
1587,15.3062
14610,15.2822
16816,15.2329
17812,15.2147
6849,15.0227
10613,14.9703
3125,14.8854
18293,14.7798
13607,14.7737
5220,14.7422
7156,14.7064
8178,14.681
2605,14.6353
3269,14.6184
2170,14.6118
18298,14.5948
7683,14.5896
3126,14.519
7704,14.513
10499,14.4873
20858,14.4757
7775,14.4224
11048,14.4108
10056,14.38
17390,14.3731
2329,14.3553
17795,14.3542
6334,14.3279
10809,14.3206
2638,14.3026
20032,14.295
10442,14.2299
1742,14.2289
10781,14.179
18738,14.1766
1545,14.1515
1941,14.139
16755,14.1173
1120,14.0682
20305,14.009
1159,14.0071
17829,14.0061
5193,14.0035
6372,13.9587
2807,13.9481
4155,13.9332
17069,13.9331
1264,13.9094
2024,13.9046
10394,13.8919
7722,13.8907
18806,13.8105
10657,13.8008
2185,13.7849
17415,13.7795
899,13.7508
2965,13.7265
11020,13.7113
20718,13.7066
2233,13.6962
3563,13.696
19274,13.6795
18304,13.6758
12780,13.6736
17528,13.6727
12779,13.6711
2186,13.6581
10113,13.6363
9210,13.626
14062,13.6245
20268,13.5896
10384,13.5798
8871,13.5792
16286,13.5714
435,13.5542
3512,13.5506
1583,13.5505
7267,13.5472
2282,13.5355
13670,13.5348
939,13.5309
5542,13.5291
10028,13.5222
10837,13.5106
18542,13.5061
18048,13.4995
16800,13.4941
11410,13.483
381,13.4701
11030,13.4473
2216,13.4132
2169,13.3817
2001,13.3409
20341,13.3252
20412,13.3131
13950,13.2895
20323,13.2895
15650,13.2233
18301,13.1935
10817,13.1718
13076,13.1693
19212,13.1143
4757,13.0733
18132,13.0731
9604,13.0597
6172,13.0516
2254,13.0203
4871,13.0101
5590,13.0065
18903,12.9843
13280,12.9715
7990,12.9488
26,12.9458
6804,12.9325
12805,12.8835
10396,12.8747
5159,12.874
18864,12.8623
8890,12.8599
20240,12.8534
2270,12.8398
1791,12.8345
9695,12.7781
19541,12.7721
17687,12.7205
9399,12.6578
4431,12.6277
17252,12.6033
10699,12.599
10368,12.5622
2948,12.5528
20135,12.551
18061,12.5486
2004,12.5478
14926,12.5448
5852,12.4994
20257,12.4507
4130,12.4478
328,12.4152
11062,12.3999
2130,12.3926
3494,12.3827
1600,12.3765
18390,12.3614
12526,12.3594
931,12.3351
1030,12.334
15604,12.3012
3483,12.2485
8249,12.2405
6377,12.2316
8884,12.2247
16787,12.2004
11067,12.1785
14526,12.1678
2518,12.163
12902,12.1626
18928,12.1548
2775,12.1418
16189,12.13
17330,12.1294
17788,12.1272
10789,12.1245
3643,12.1163
19497,12.1043
10544,12.097
18855,12.0888
11921,12.0862
16359,12.062
18055,12.0609
4665,12.0504
623,12.0487
7707,12.0382
7097,12.0346
10663,12.0329
19393,12.014
16264,12.0019
3628,11.9562
1522,11.9494
18797,11.9179
2959,11.9177
11016,11.8795
18322,11.8633
6622,11.8604
2264,11.8501
10308,11.8434
10068,11.8213
20288,11.8095
5902,11.808
280,11.7781
15031,11.7221
5385,11.7188
18353,11.716
335,11.708
13757,11.6453
8794,11.6409
4994,11.6347
10810,11.6342
20332,11.6333
19213,11.6082
7041,11.6003
2091,11.5836
11065,11.5637
18825,11.5314
12783,11.529
18706,11.5286
2266,11.5103
9233,11.4756
804,11.4526
906,11.4519
10686,11.4241
17448,11.4206
19475,11.4143
11225,11.411
20289,11.4041
581,11.388
5295,11.3802
7134,11.3769
19816,11.373
7116,11.3673
10834,11.3671
1418,11.3423
7950,11.3354
18213,11.3271
19666,11.3133
18875,11.31
18479,11.3057
11066,11.2881
17456,11.2758
17447,11.2716
1005,11.2659
4650,11.2604
4789,11.2134
2217,11.2128
9216,11.1956
4013,11.1954
387,11.1848
8905,11.1835
18477,11.1715
20104,11.1691
15524,11.1583
330,11.1522
15409,11.1192
10812,11.1018
12832,11.0952
6604,11.0807
7362,11.078
8955,11.0571
8820,11.0349
6735,11.032
20309,11.0288
2311,11.0259
19135,11.0155
20331,10.9838
7893,10.9835
6392,10.975
3538,10.9746
17215,10.9581
2314,10.9489
17726,10.9406
20312,10.9328
18140,10.9318
18719,10.9248
20128,10.9106
10892,10.8951
17113,10.8804
13502,10.8702
17668,10.8698
8914,10.8635
1094,10.8392
5286,10.8297
253,10.801
1842,10.7873
11415,10.7854
2002,10.7816
11255,10.7741
2061,10.7647
3873,10.764
18205,10.7636
16262,10.7608
5127,10.7276
5652,10.7211
5960,10.7197
394,10.7152
4980,10.7134
14264,10.6998
12454,10.6937
8538,10.651
11211,10.651
12781,10.6485
1179,10.6241
18136,10.6205
13668,10.62
15948,10.6049
908,10.6043
20266,10.6033
1451,10.5935
19601,10.5811
17721,10.5797
18253,10.5789
11279,10.5639
4343,10.5504
3942,10.5461
1998,10.5257
2884,10.519
10782,10.5112
19291,10.4801
19141,10.4547
15479,10.4542
2976,10.45
17533,10.4239
19211,10.405
2373,10.3987
18543,10.3741
5531,10.3595
5979,10.3547
10806,10.3401
10205,10.3333
2138,10.3234
11044,10.3208
17038,10.3202
17523,10.3002
9630,10.2984
15449,10.2964
7755,10.282
5001,10.2783
6597,10.2675
2157,10.263
17771,10.2626
2232,10.2502
370,10.2412
14124,10.2374
1164,10.2373
17464,10.2361
2989,10.21
19765,10.2083
13567,10.2074
18783,10.1968
19166,10.1781
10565,10.1731
926,10.1712
2303,10.1557
18842,10.1544
9355,10.1473
2237,10.1346
15389,10.1239
17560,10.1213
20346,10.1113
2221,10.1093
17618,10.1062
19947,10.0939
1789,10.0896
18302,10.0896
20733,10.074
13344,10.0674
16693,10.0531
11803,10.0501
1714,10.0457
2557,10.044
18833,10.0395
2421,10.0316
16832,10.03
11441,10.029
13720,10.0206
5115,9.9706
6863,9.9553
10795,9.9484
17683,9.9416
9667,9.9349
4663,9.9211
11662,9.9077
15495,9.9036
11373,9.8952
18012,9.8916
17515,9.8722
17735,9.8668
4997,9.8579
1096,9.8517
860,9.8396
3220,9.8345
17301,9.7812
3002,9.7774
13492,9.7674
3230,9.755
1932,9.7537
9391,9.748
17995,9.7317
20276,9.7185
2318,9.7064
9279,9.703
9636,9.6946
16360,9.6901
20263,9.6837
17558,9.6717
18297,9.6643
10695,9.6627
1459,9.655
2971,9.6535
16368,9.6458
7081,9.6407
2830,9.64
6154,9.6389
10978,9.6282
13448,9.6157
19699,9.605
10900,9.602
4012,9.5965
19608,9.595
11263,9.5849
4181,9.5742
6531,9.5551
15722,9.5518
14807,9.5391
3263,9.5262
16801,9.5242
15194,9.5181
15949,9.5163
2801,9.5161
18230,9.5123
18310,9.5093
12546,9.4905
14530,9.4876
19014,9.4794
8266,9.4692
18665,9.4673
18001,9.4594
18363,9.454
633,9.4421
3940,9.4149
18566,9.4084
11290,9.4032
1422,9.3849
9244,9.3843
12053,9.381
10743,9.3749
15274,9.3673
10717,9.3661
18316,9.365
20783,9.3555
2749,9.3477
18412,9.3472
8525,9.3407
1104,9.3189
2203,9.3158
3689,9.3124
5351,9.2967
9371,9.2882
9713,9.2838
2743,9.2779
2355,9.2765
9129,9.2692
3144,9.2643
18593,9.2633
9717,9.2576
3185,9.2551
20698,9.255
10917,9.2509
4966,9.2491
11437,9.2475
1015,9.2473
10728,9.2455
3381,9.2351
11168,9.234
11445,9.2333
18355,9.228
12796,9.2261
15858,9.2037
1822,9.1903
17550,9.1879
17024,9.1838
18414,9.182
3294,9.1782
18811,9.1715
4962,9.1703
18271,9.1606
6445,9.1587
1371,9.1572
15776,9.154
18662,9.1537
12776,9.1505
4089,9.1487
9378,9.12
6300,9.1079
15442,9.1061
8272,9.1058
2212,9.1038
16928,9.1003
3557,9.1002
20728,9.1001
406,9.0892
18162,9.0848
18380,9.0842
12549,9.082
3360,9.0803
20800,9.0784
15142,9.0765
12215,9.0749
1249,9.0743
10729,9.0702
1943,9.0629
5293,9.0531
2179,9.0476
13823,9.0345
15606,9.0338
6434,9.0334
11949,9.0251
9503,9.0218
19440,9.0106
2479,9.0093
3732,8.9972
9950,8.9791
4120,8.9723
5232,8.9701
9237,8.9664
18027,8.9661
1612,8.9589
18840,8.9565
19116,8.9511
9505,8.9496
18428,8.948
18962,8.9467
10048,8.946
20275,8.9408
11138,8.9399
1107,8.9375
19946,8.9344
18859,8.9331
19285,8.93
18209,8.9258
3082,8.923
16771,8.9227
9225,8.922
18805,8.9179
4804,8.9165
16905,8.9114
5791,8.9093
18701,8.9072
14514,8.9002
7939,8.8908
19675,8.8904
4867,8.8864
19049,8.8846
10377,8.8843
18674,8.8823
3872,8.8816
3097,8.8813
16958,8.8764
20175,8.8759
6402,8.8591
20488,8.8561
19011,8.8555
2839,8.8498
683,8.8286
5401,8.8284
20824,8.8196
5200,8.8171
6483,8.8113
11443,8.8069
13675,8.8064
7845,8.8015
10283,8.791
10956,8.7881
19681,8.7861
18606,8.7846
11680,8.7675
1001,8.7653
18723,8.7621
18839,8.7583
12399,8.7552
2206,8.7523
12840,8.7497
6016,8.7475
4912,8.7472
3184,8.7429
15135,8.7354
18120,8.7259
10704,8.7227
2240,8.7217
9639,8.7196
18957,8.713
11436,8.7123
8853,8.7046
4722,8.6941
2113,8.688
9628,8.6818
4745,8.6771
5082,8.6711
15326,8.6688
3477,8.6684
14675,8.6677
4562,8.6652
3241,8.6634
2294,8.6581
10141,8.652
6094,8.6518
13566,8.65
2236,8.6408
14782,8.6394
6020,8.633
462,8.6323
10566,8.6257
8948,8.6219
64,8.6211
16908,8.6171
6276,8.6115
1516,8.6106
2108,8.608
10751,8.6015
3939,8.6013
478,8.5949
8040,8.592
10893,8.5883
18135,8.5817
10788,8.5791
18574,8.5791
1260,8.5785
2915,8.5702
