row,score
3377,34.8012
3136,31.9694
1663,29.1687
1907,28.7087
3391,27.2193
3460,26.9057
3091,26.2318
8429,26.0464
2185,25.7552
3396,25.5637
13396,25.2484
2572,25.2466
3397,24.5137
8919,23.5824
3331,23.3227
3329,23.2932
3240,23.2642
1787,23.0228
12444,22.8551
3248,22.8396
1978,22.0361
13413,21.9436
3444,21.8448
13420,21.8284
990,21.6552
8191,21.599
13427,21.2507
15223,21.2367
3696,20.9802
1240,20.9599
1102,20.8204
1101,20.7975
4034,20.565
691,20.5366
3881,20.2832
1284,20.1921
1383,20.149
1257,20.0287
3173,19.9035
7664,19.873
13431,19.8384
7683,19.7179
11383,19.7127
3214,19.5661
1821,19.4524
3370,19.3371
12486,19.286
215,19.282
1279,19.2533
9542,19.1617
3106,19.0696
1268,18.935
3355,18.8764
7817,18.8322
1941,18.8234
3418,18.4814
8211,18.4752
5740,18.4716
12409,18.4245
1832,18.4216
3075,18.3912
4065,18.3709
13428,18.349
3402,18.3204
5340,18.2978
13440,18.1426
655,17.9329
982,17.8437
7526,17.7097
10506,17.6012
952,17.5297
2303,17.4232
2507,17.3644
12883,17.0918
15770,17.0519
5519,17.0209
7828,16.7925
1829,16.6532
8214,16.5436
7121,16.4214
803,16.3979
1864,16.3864
966,16.3738
7748,16.3614
2164,16.2262
1848,16.1767
5314,16.1752
2014,16.1593
11615,16.1066
12127,16.018
13775,15.982
1036,15.7815
5048,15.3721
2105,15.3334
7345,15.3272
13371,15.2887
1002,15.2112
8691,15.1314
184,15.0416
612,14.9948
12488,14.8851
15097,14.7383
12442,14.7377
8219,14.6366
3802,14.275
3924,14.081
1285,14.0508
109,14.0317
14378,14.0162
870,13.9901
2766,13.9814
1991,13.9212
13378,13.9059
7501,13.8662
3486,13.8328
13223,13.8154
7293,13.5908
2074,13.5652
965,13.5248
8204,13.5163
13737,13.401
6948,13.3701
4439,13.3582
2426,13.3312
11134,13.0731
11681,13.0216
6992,12.9787
3421,12.9142
90,12.8923
13490,12.8887
6904,12.8849
9554,12.8815
7429,12.844
9240,12.7226
7810,12.6635
11043,12.6451
5261,12.6404
2825,12.6034
3341,12.5678
17096,12.539
9662,12.5284
13640,12.3615
13310,12.3402
13677,12.3154
1270,12.3034
8774,12.2828
13597,12.2078
11104,12.2021
6452,12.1067
2034,12.0998
13060,11.9779
1139,11.9757
261,11.9055
15339,11.8956
11070,11.8522
5656,11.8213
7846,11.7952
14291,11.7806
3004,11.774
3698,11.7456
1622,11.7016
16670,11.6792
13357,11.6539
9561,11.6017
11440,11.551
7791,11.5141
11386,11.4112
11103,11.3202
7782,11.2797
12633,11.2695
13813,11.2377
13288,11.2366
7837,11.2148
13725,11.2101
6935,11.1922
11813,11.1695
7823,11.1405
1056,11.1281
13292,11.0605
5901,11.049
12440,11.0222
16352,11.0051
6107,10.9706
7698,10.9458
16668,10.9165
7825,10.9158
7772,10.9064
11639,10.8485
11462,10.8384
10412,10.804
13540,10.7947
11397,10.7209
5987,10.6904
14894,10.6785
9238,10.6672
769,10.6665
7752,10.6588
13430,10.6467
5529,10.6282
15503,10.6142
10599,10.573
872,10.5454
3464,10.459
3125,10.4153
13309,10.3973
7755,10.3719
7248,10.3677
15985,10.3621
14692,10.3403
701,10.3315
16356,10.3295
4551,10.2692
352,10.2438
13694,10.2417
7113,10.2277
16426,10.2057
7847,10.1994
13981,10.1709
15090,10.1322
3432,10.1114
16260,10.0788
2180,10.0674
13885,10.052
13654,10.0304
4873,10.0096
15851,9.9894
2436,9.9887
9291,9.9854
13996,9.9512
10634,9.945
2246,9.9336
3829,9.9202
7586,9.8673
7789,9.8388
922,9.8283
11435,9.8259
2807,9.8112
5978,9.8097
16302,9.7763
124,9.7572
16063,9.7543
7784,9.7403
15219,9.7347
10262,9.7125
2605,9.6886
3229,9.6245
3101,9.6202
2687,9.6169
11064,9.578
12443,9.5329
13743,9.5273
2944,9.5135
4477,9.5011
3308,9.4229
6113,9.3965
822,9.387
14328,9.3729
14626,9.3695
13306,9.3304
13872,9.3017
3208,9.2725
13441,9.2703
8213,9.2592
10356,9.2146
17022,9.2054
14033,9.1539
4895,9.0756
13603,9.0553
16512,9.0205
2934,9.0064
14247,8.9932
2197,8.9638
7288,8.942
10056,8.941
7321,8.9137
5787,8.9064
37,8.8977
4353,8.8753
13676,8.8058
5964,8.7822
9001,8.7675
2003,8.7418
266,8.6968
7613,8.6533
6331,8.6509
7757,8.6082
1740,8.603
2204,8.6027
14404,8.6027
11932,8.5907
13683,8.5872
3359,8.55
10213,8.5479
6225,8.5209
11601,8.5105
10603,8.4399
446,8.4073
3446,8.3805
3915,8.3576
7981,8.3498
3885,8.3078
13551,8.2685
12113,8.2563
805,8.2017
15850,8.1821
7839,8.1796
1318,8.1593
8215,8.153
13546,8.1292
14614,8.1238
8514,8.1203
13129,8.0935
7310,8.0637
7822,8.0371
4570,8.0351
10216,8.0213
14770,7.987
8654,7.9486
1852,7.9356
4438,7.9356
8321,7.9077
13608,7.9071
15241,7.8988
1317,7.8709
15765,7.8264
2619,7.7895
4017,7.7657
7734,7.7553
707,7.7474
7162,7.7364
13665,7.7313
7131,7.7148
2682,7.7098
13336,7.7097
14959,7.6869
6987,7.6739
4428,7.6651
3910,7.6631
9076,7.6602
16263,7.6391
354,7.6242
11994,7.6003
1571,7.4998
367,7.4897
8785,7.4847
11680,7.3952
10955,7.3795
13112,7.3375
11636,7.3279
7799,7.318
4148,7.3041
517,7.2823
4436,7.2754
11826,7.2613
9582,7.2203
11047,7.2118
3338,7.2083
8221,7.1991
12768,7.1874
13734,7.1759
4844,7.1737
7413,7.1336
672,7.1194
792,7.1169
6944,7.1116
4440,7.0854
11044,7.0854
13415,7.0823
15405,7.0785
10377,7.0751
8920,7.0645
16411,7.0349
14805,7.031
13289,7.0148
12765,7.0009
10513,6.9916
15402,6.9916
16936,6.9813
12256,6.9788
9623,6.9548
14838,6.922
12230,6.9215
5651,6.9169
1310,6.8944
9439,6.89
10989,6.88
13402,6.8796
2964,6.869
12361,6.8645
14832,6.8577
13377,6.8575
17087,6.8563
9150,6.8319
1925,6.8221
12565,6.8059
11141,6.8013
13462,6.8006
7663,6.7759
14875,6.747
13618,6.7359
11838,6.731
11862,6.7091
14992,6.7024
1534,6.6952
14801,6.6777
13375,6.6721
4544,6.6625
8187,6.6473
10545,6.6373
11295,6.6241
9107,6.6134
11858,6.6098
13202,6.6021
13374,6.5925
309,6.5918
13388,6.5893
6405,6.5869
11101,6.5855
4673,6.5813
14898,6.5782
1996,6.5682
6576,6.5677
13052,6.556
12524,6.5457
10896,6.5425
12679,6.5394
11856,6.538
137,6.5358
10497,6.5277
14131,6.511
13971,6.5104
10541,6.5085
7857,6.5082
62,6.5022
12138,6.4768
13359,6.4578
5311,6.4478
4889,6.4224
13224,6.4136
10607,6.4114
13381,6.4051
15719,6.4021
14161,6.3998
378,6.3988
8207,6.3844
11282,6.3757
9840,6.37
7925,6.3483
12489,6.348
15007,6.3444
11819,6.3426
6711,6.3213
13243,6.306
15749,6.2795
11508,6.2765
13062,6.2683
15376,6.2575
13443,6.2477
7487,6.2435
5929,6.2374
13506,6.2369
9460,6.2366
11847,6.2328
6918,6.2247
15316,6.2247
12269,6.2166
7537,6.2017
9858,6.1921
10572,6.1906
10387,6.1823
5135,6.1803
13399,6.1772
7281,6.1715
12505,6.1571
3966,6.1567
11065,6.1564
11364,6.1499
7754,6.14
6830,6.1346
11823,6.1321
10290,6.1306
12495,6.1252
16970,6.1216
17020,6.1125
10184,6.0912
16843,6.0847
15728,6.0782
13713,6.0717
5510,6.0671
8348,6.0651
16274,6.0632
13753,6.046
6303,6.0395
13800,6.0306
329,6.0146
5962,6.0139
11861,6.0139
13380,6.0053
13392,6.0001
12540,5.9958
2844,5.9913
14830,5.9816
7826,5.9722
8206,5.9628
3511,5.9495
13958,5.9495
14577,5.9462
13029,5.9416
11563,5.9369
5024,5.925
2104,5.9204
9012,5.9201
10970,5.9201
13356,5.9201
7870,5.9063
8611,5.9015
635,5.8985
14870,5.8957
10511,5.8842
6762,5.8732
11684,5.871
4738,5.8636
15332,5.8505
2042,5.8376
3085,5.8274
14731,5.8249
12675,5.8192
13742,5.8172
12259,5.7996
8610,5.7988
8645,5.7988
11635,5.7943
17083,5.7876
16681,5.7808
3892,5.7679
10728,5.7643
14371,5.7643
14742,5.7621
4508,5.7485
12671,5.7449
4713,5.7352
14688,5.7235
11338,5.7198
12555,5.7128
5426,5.7071
7547,5.7063
11832,5.6973
14837,5.6962
11453,5.6949
196,5.6824
14386,5.6772
13395,5.6706
14855,5.6673
11470,5.6553
14891,5.6476
11289,5.6363
12907,5.6345
10578,5.6273
7289,5.6106
14809,5.6036
6895,5.5969
14740,5.591
9891,5.564
10332,5.5607
14264,5.5571
13492,5.5504
4434,5.5404
12181,5.5353
16378,5.5342
12497,5.5323
13422,5.5301
12074,5.5252
9166,5.514
14852,5.5087
15595,5.5051
11889,5.5021
14936,5.5002
15807,5.498
1041,5.4784
10629,5.4778
10617,5.4768
13364,5.4756
15788,5.4756
11534,5.4707
9537,5.4704
13103,5.4698
12187,5.4694
13442,5.4672
5056,5.4663
10007,5.4648
3514,5.4616
12182,5.461
11232,5.4584
13370,5.4567
8532,5.4494
14139,5.4494
10416,5.4488
11809,5.4442
11931,5.4428
7507,5.4417
7647,5.439
11381,5.436
10073,5.4339
10631,5.4272
13059,5.4131
12528,5.4117
13602,5.408
14840,5.3963
11088,5.3879
13457,5.3875
11921,5.3846
7482,5.384
10953,5.3722
14635,5.3672
14389,5.3519
16205,5.3506
14043,5.348
6552,5.3415
5481,5.335
7438,5.332
14846,5.322
12171,5.3206
1876,5.3143
16612,5.3034
6526,5.3033
12767,5.3033
14831,5.3033
11913,5.3021
7195,5.3017
14874,5.2991
9866,5.2937
7786,5.2909
14167,5.2886
1361,5.2835
13812,5.2785
10503,5.2775
10196,5.2767
3866,5.2689
14018,5.2629
15019,5.2574
7843,5.2544
11855,5.2483
14962,5.247
2131,5.2448
2911,5.2379
13414,5.2339
10899,5.229
15683,5.2194
12276,5.2112
10225,5.2099
2181,5.2046
9515,5.1921
381,5.1896
13525,5.1861
8279,5.1736
17095,5.172
1332,5.1708
11144,5.1683
13348,5.1678
15234,5.1658
11481,5.1613
2828,5.1559
17090,5.1545
9298,5.1543
7813,5.1486
13730,5.1473
3427,5.141
16519,5.1396
11590,5.1322
12202,5.1322
5413,5.1111
7522,5.1066
9263,5.1012
5406,5.088
15286,5.0852
296,5.0827
6039,5.0733
11438,5.0716
14895,5.0716
13311,5.0706
2277,5.0593
6974,5.057
12722,5.0529
6962,5.0487
9143,5.0449
9571,5.0449
10583,5.0436
4993,5.0378
13644,5.0333
14511,5.0155
2172,5.0108
3453,5.0095
13002,5.0067
4516,4.9947
1251,4.992
15422,4.9791
13087,4.9719
15272,4.9682
6054,4.9675
11412,4.9675
11461,4.9661
10708,4.9654
11468,4.9562
11845,4.9524
10212,4.9468
4330,4.9423
9532,4.94
1817,4.9204
13491,4.9203
15901,4.913
10422,4.9012
13361,4.9012
5959,4.8949
6022,4.8857
7705,4.8857
8383,4.8857
2714,4.8794
2821,4.8781
8811,4.8724
15043,4.8724
11824,4.8584
12277,4.8525
1037,4.8474
11045,4.8327
16709,4.8319
14341,4.8262
212,4.8244
7474,4.808
153,4.8066
7066,4.8028
4850,4.7898
7531,4.7898
6258,4.7837
15839,4.7837
4563,4.7834
14699,4.7809
5146,4.7794
11544,4.7746
5979,4.7684
3235,4.7489
2900,4.7468
13363,4.7419
9123,4.7398
12523,4.7331
17075,4.7242
14613,4.7209
555,4.7198
11802,4.7183
567,4.7166
7428,4.7124
7629,4.7124
13943,4.7124
16182,4.7092
14718,4.7055
8401,4.6988
15462,4.6988
12545,4.6949
8931,4.6914
15210,4.6864
10008,4.6814
12177,4.6803
7941,4.6741
12029,4.6718
7204,4.661
9217,4.6558
1660,4.6497
13724,4.6448
17033,4.64
12704,4.6376
8900,4.6332
5544,4.6329
683,4.6316
16305,4.6271
16237,4.6255
4364,4.6247
14452,4.6247
13624,4.6179
12121,4.6149
12418,4.6136
13109,4.6055
3315,4.6015
10437,4.5926
11565,4.5926
12508,4.5926
441,4.5924
5879,4.5815
1903,4.5812
12381,4.5749
12701,4.5747
13856,4.5729
13574,4.5692
7913,4.5673
9585,4.5619
8317,4.5571
1770,4.5546
5182,4.551
6896,4.551
3264,4.5487
9822,4.5487
13625,4.5477
187,4.5429
9243,4.5429
12267,4.5429
13319,4.5322
4505,4.5256
14495,4.5256
15165,4.516
4087,4.5076
5361,4.5
10404,4.5
13141,4.497
6066,4.4864
7145,4.4864
12576,4.484
15160,4.4758
1656,4.4707
5662,4.4682
3175,4.4587
5000,4.4577
624,4.4574
3139,4.4547
10426,4.4465
7478,4.4438
7399,4.4316
7335,4.4236
6946,4.4108
9342,4.4081
11865,4.4059
12529,4.4059
13852,4.4059
13555,4.4028
2782,4.3905
12678,4.3879
5251,4.3827
10432,4.3653
10265,4.364
3293,4.3632
16913,4.3625
8233,4.3599
205,4.3585
15711,4.3458
15487,4.3435
11874,4.3403
13425,4.3326
9540,4.3255
14829,4.3227
13568,4.3224
6855,4.3119
14984,4.3038
8430,4.3034
4363,4.3031
13663,4.3031
6943,4.3015
12016,4.2959
13070,4.2934
15699,4.2934
13922,4.2831
10493,4.2761
6124,4.2705
14067,4.268
13623,4.2644
4498,4.2623
2757,4.2581
10887,4.2575
6174,4.2548
3336,4.2524
5252,4.2454
4293,4.235
13620,4.2337
12748,4.2036
1459,4.2022
341,4.2
515,4.2
13237,4.1938
15221,4.1901
10389,4.19
15879,4.1891
8238,4.188
12084,4.188
9482,4.1852
8358,4.1824
10707,4.1798
10689,4.1754
2520,4.1727
5934,4.1727
8264,4.1727
7774,4.1705
2569,4.1656
11807,4.164
5371,4.1629
7126,4.1615
14194,4.1615
14669,4.1532
3844,4.1499
3028,4.1435
9155,4.1433
12337,4.1414
10378,4.1406
8325,4.1366
1309,4.1343
5605,4.1188
7175,4.112
6224,4.1098
3949,4.1096
807,4.1074
5414,4.1074
13562,4.0959
14385,4.0959
13110,4.0911
7751,4.0897
12208,4.0897
13581,4.0897
2858,4.0865
3161,4.0865
6201,4.0775
4480,4.0771
15079,4.0747
12645,4.0634
7640,4.0547
13398,4.0547
3156,4.0401
13722,4.0374
12339,4.0344
10703,4.0312
6737,4.031
3840,4.0289
610,4.027
1223,4.0198
4634,4.0153
10678,4.0153
15629,4.0118
2100,4.0114
7457,4.003
16841,3.9865
9154,3.9858
10347,3.9858
13588,3.9858
2993,3.9769
10726,3.9698
13619,3.9681
7753,3.9615
1638,3.9613
11121,3.9593
12081,3.9593
9330,3.9505
6020,3.9417
9317,3.9417
16735,3.9417
12860,3.9276
13293,3.9244
15118,3.9206
17076,3.9185
7062,3.9181
12327,3.9164
14189,3.9157
9031,3.9107
2926,3.9103
5005,3.9071
12302,3.9071
1112,3.8901
12031,3.8884
11251,3.8847
10808,3.8816
12717,3.8816
16630,3.8805
13622,3.8747
2642,3.8731
9114,3.8725
12833,3.8725
14420,3.8564
14455,3.8564
10190,3.8412
16033,3.8412
16094,3.8397
4761,3.8315
7373,3.8315
11071,3.8257
11912,3.8232
12346,3.8212
14050,3.815
7566,3.8069
13365,3.8048
10182,3.801
14195,3.7992
2663,3.7988
11152,3.7988
2981,3.7951
13283,3.7951
4547,3.7875
10340,3.7858
27,3.7826
1347,3.7826
2818,3.7826
13410,3.7746
14235,3.7746
659,3.7728
14713,3.7649
10637,3.7587
1147,3.7507
8391,3.7507
15085,3.7451
14286,3.7429
13432,3.7373
9471,3.735
15762,3.7279
3490,3.7117
12164,3.7117
1331,3.7061
8471,3.7061
11308,3.7061
11542,3.7061
12307,3.6988
3445,3.6962
12800,3.6946
7722,3.6886
1920,3.681
12303,3.681
10841,3.6773
13242,3.6773
16374,3.6702
12825,3.6677
1730,3.6658
4187,3.6658
4971,3.6583
5793,3.6583
9140,3.656
13519,3.656
11905,3.651
665,3.6508
8338,3.6433
9272,3.6433
